#{"t_start": 1760785782.7396362, "env_id": "None"}
r,l,t
-9.91226,364,62.003378
19.13519,423,63.55234
60.87314,516,65.225486
222.23518,612,67.23799
136.02921,510,69.248477
271.8119,980,135.74385
-49.36238,532,137.724617
9.67764,521,139.387656
-81.33824,297,140.271206
38.47932,672,142.309234
-74.92572,232,217.333082
-57.77582,277,218.104655
-24.80575,371,219.115682
-101.17954,268,220.057626
-77.18714,277,221.176381
-9.05635,326,291.606658
-80.8389,229,292.265162
-42.76847,283,293.21265
-42.42214,452,294.598562
-75.25993,255,295.535119
36.56433,446,366.067337
121.04002,564,368.050237
71.88875,503,370.276361
159.5753,532,372.285414
-9.33264,304,373.393687
97.85368,432,441.464567
-16.61519,358,442.662127
39.58177,454,444.191201
-20.65583,390,445.778896
-5.60853,319,446.649925
-37.89995,371,497.31536
36.41533,414,498.300786
-37.7694,392,499.334742
85.38681,435,500.448414
-50.70307,246,501.024923
117.00255,514,574.983555
12.82685,467,576.442379
116.01697,534,578.496364
63.71758,453,580.656285
-2.85315,446,582.408693
84.78552,409,666.286222
-16.37312,400,667.805178
-56.37632,289,668.764364
1.38443,338,669.859845
-12.84548,320,671.076878
-10.63076,280,789.091564
-41.40409,274,790.619367
-49.69028,256,791.62043
-0.27482,293,793.172014
-11.28141,274,794.205108
-4.28818,493,881.159261
221.55077,678,882.8743
-32.43313,239,883.441627
-36.99002,365,884.333139
-10.95282,333,885.377866
-78.74569,231,951.807975
-68.25046,261,952.900029
-24.761,361,953.951877
-80.10825,282,954.844204
-61.1812,296,955.808977
-77.41645,271,1033.769208
45.37237,606,1035.209197
-74.99862,261,1035.846129
-90.32976,249,1036.430153
-72.02215,267,1037.079191
55.45484,360,1107.389042
-11.77023,339,1108.504482
102.67052,496,1110.104113
-11.14239,307,1111.056276
37.73353,347,1112.206324
10.35983,431,1196.630408
23.99088,384,1198.336095
4.27371,370,1199.637897
104.8979,445,1201.182919
22.45488,360,1202.449622
88.14655,482,1270.714939
19.04157,371,1271.623392
-36.04738,301,1272.481805
-18.2421,380,1273.458848
-72.61829,279,1274.132843
59.70865,358,1335.333388
-93.80205,218,1335.765357
-21.84121,418,1336.688662
21.96629,451,1337.978882
-48.17887,318,1339.104342
-13.84837,274,1399.311583
-50.13243,246,1399.929584
-34.59307,259,1400.607413
-20.74549,279,1401.256963
-39.49728,289,1401.879394
58.25865,390,1470.489051
-10.67351,395,1471.532231
-31.57347,286,1472.33667
45.7635,469,1473.344954
-42.95443,315,1474.040692
-13.69998,317,1548.942978
-19.4724,304,1549.672214
19.77431,415,1550.651693
-40.13249,338,1551.453696
66.85836,392,1552.460025
22.07541,339,1630.67997
-51.31574,372,1631.67465
17.94956,377,1632.609572
97.9561,461,1633.812734
-3.96485,423,1634.9102
91.86858,524,1684.668957
-57.61608,337,1685.41004
-58.47878,333,1686.155216
46.42514,404,1687.046104
-30.40411,323,1687.756442
39.71258,357,1741.422961
74.12309,422,1742.331589
92.18421,443,1743.285539
52.69364,352,1744.052611
-62.58308,345,1744.790726
-53.6858,289,1804.073128
69.78887,442,1805.103399
28.33072,336,1805.872523
-69.76242,285,1806.533316
88.65869,443,1807.62394
-21.16861,327,1873.330551
33.45879,466,1874.424829
0.70703,386,1875.330191
-27.10334,324,1876.08348
20.03962,357,1876.906122
47.43163,426,1938.47269
7.98802,333,1939.45716
-0.57454,365,1940.42387
5.15846,380,1941.419324
104.42926,508,1942.731042
47.50007,362,2017.11631
