#{"t_start": 1760994487.1056993, "env_id": "None"}
r,l,t
202.454527,800,3.766758
215.540793,800,4.650187
205.412315,800,5.544887
199.055611,800,6.506709
212.036695,800,7.375287
194.636284,800,8.389838
228.682673,800,9.327823
198.654169,800,10.415277
215.353591,800,11.492984
224.649929,800,12.652128
200.914337,800,55.613427
182.291112,800,56.814022
193.761754,800,57.881317
213.020292,800,59.19312
217.810445,800,60.443181
203.530745,800,61.681824
193.662504,800,62.791173
223.382083,800,64.048285
212.772535,800,65.158147
222.897969,800,66.551312
207.889391,800,118.225287
219.301536,800,119.699651
227.604309,800,121.05774
221.933639,800,122.296473
193.093954,800,123.782346
216.039835,800,125.295022
213.081705,800,126.536239
218.253605,800,128.023424
229.435516,800,129.614731
222.067533,800,131.25207
206.828145,800,183.67353
225.68723,800,185.216536
205.525577,800,186.82895
209.185345,800,188.276757
228.081971,800,189.937558
223.477946,800,191.30625
223.726554,800,193.0168
220.80151,800,194.46807
189.036273,800,196.193432
223.833595,800,197.632463
220.199166,800,253.403895
227.788802,800,255.106216
210.033634,800,256.773166
229.804,800,258.629843
218.243782,800,260.259181
218.756724,800,261.877438
210.496676,800,263.611008
229.691865,800,265.30731
226.120374,800,266.97589
224.993543,800,268.66694
