#{"t_start": 1760994763.646464, "env_id": "None"}
r,l,t
185.390034,800,3.138058
202.495144,800,6.455381
193.841348,800,9.065143
211.959332,800,12.310499
220.197968,800,14.479114
227.862313,800,17.467599
219.211039,800,19.982952
212.407541,800,22.685829
228.181877,800,25.21042
218.794658,800,27.003294
224.370896,800,29.732804
217.215387,800,31.733824
194.177027,800,34.397431
202.39962,800,36.479258
207.675929,800,39.014473
199.335986,800,41.040483
216.713672,800,43.593762
223.232356,800,46.008275
217.474646,800,48.51285
195.428885,800,51.365005
211.674873,800,53.410833
222.537745,800,55.894273
222.382499,800,58.017158
212.952254,800,60.773667
207.589302,800,63.541929
221.383044,800,65.678867
186.923926,800,68.488041
205.308143,800,70.627231
213.087157,800,73.319971
225.137262,800,75.494352
