episode_reward,episode_length,episode_kills,episode_accuracy
148.11164,883,,
69.00908,837,,
10.72888,499,,
59.25428,522,,
73.059,700,,
92.26888,749,,
89.33168,539,,
106.19964,803,,
45.92168,567,,
229.387,1000,,
109.86008,889,,
149.4712,781,,
280.449,1000,,
116.18908,639,,
76.19348,682,,
-41.65912,399,,
59.41928,597,,
155.2744,936,,
68.9464,565,,
-33.68652,454,,
257.36,1000,,
89.82848,477,,
58.72328,784,,
167.2792,995,,
70.5738,696,,
28.86164,443,,
149.339,1000,,
-43.6962,455,,
300.66,1000,,
86.40728,507,,
102.77124,588,,
59.19268,634,,
6.653,495,,
89.27328,654,,
273.349,1000,,
101.35864,658,,
121.5106,791,,
50.44124,483,,
64.55468,817,,
141.96064,698,,
-109.30332,262,,
130.437,831,,
99.49748,632,,
61.8412,631,,
53.2416,616,,
140.96048,844,,
69.737,650,,
125.0864,710,,
44.39068,734,,
307.96,1000,,
178.82028,697,,
96.8994,865,,
20.34864,448,,
96.10864,773,,
75.47064,618,,
168.23128,872,,
133.56408,612,,
3.22428,387,,
26.5444,436,,
51.12668,484,,
-17.60932,317,,
27.33128,479,,
30.96164,408,,
309.76,1000,,
296.06,1000,,
145.11068,764,,
28.8816,425,,
54.48268,567,,
126.9224,621,,
33.9846,470,,
63.358,601,,
252.26,1000,,
38.3756,750,,
71.607,521,,
-39.89036,428,,
99.68364,743,,
182.604,1000,,
-23.8526,440,,
71.2666,685,,
18.35968,534,,
58.92328,629,,
8.2648,371,,
61.44068,367,,
-22.07036,358,,
92.54008,719,,
61.47964,503,,
99.5842,701,,
8.76788,549,,
41.32664,568,,
6.9294,371,,
114.36588,802,,
80.44508,647,,
71.661,651,,
54.85688,827,,
223.321,1000,,
-19.16236,448,,
-19.95752,407,,
85.1336,560,,
-25.24036,438,,
-24.655,401,,
7.75164,448,,
-28.04292,439,,
-3.3716,440,,
-117.82936,293,,
-13.9976,386,,
11.369,500,,
-104.6118,370,,
-55.14336,463,,
-38.02992,462,,
-16.1402,406,,
-37.85672,429,,
21.99648,544,,
6.28688,427,,
-5.26132,559,,
30.46668,617,,
-34.95876,488,,
-49.84692,457,,
-1.45812,387,,
301.86,1000,,
-43.2076,355,,
-5.24552,429,,
-24.98412,524,,
-65.6924,341,,
279.66,1000,,
20.3632,570,,
31.36948,524,,
-2.7752,530,,
-13.09076,398,,
107.52108,824,,
158.0646,1000,,
75.47164,768,,
142.4972,945,,
-11.4348,395,,
11.16328,354,,
144.65864,908,,
30.441,525,,
130.34088,977,,
69.83608,612,,
13.46064,513,,
11.76148,419,,
-22.174,475,,
91.32564,618,,
196.56008,962,,
4.39168,417,,
-24.4402,360,,
135.63,801,,
386.66,1000,,
354.1792,1000,,
17.726,450,,
59.1452,515,,
305.66,1000,,
103.21368,517,,
217.94488,812,,
138.07128,769,,
187.4782,820,,
37.78508,539,,
39.42764,523,,
265.66,1000,,
-32.85576,308,,
149.917,625,,
64.4468,671,,
-4.26236,488,,
73.73,600,,
150.7622,711,,
-1.32136,493,,
-71.66852,407,,
6.86508,402,,
106.02208,562,,
125.0462,575,,
-35.0448,406,,
272.86,1000,,
172.685,975,,
-73.0412,421,,
2.90408,514,,
37.521,440,,
-18.15936,398,,
47.44768,792,,
36.6598,446,,
75.36808,444,,
30.40208,382,,
21.07548,494,,
22.7202,441,,
0.635,415,,
18.13164,533,,
-28.8126,335,,
178.62428,797,,
74.06928,742,,
-96.49696,303,,
48.67668,442,,
-34.47092,332,,
-31.2084,415,,
-8.11236,438,,
-28.78652,432,,
9.95748,569,,
-54.78452,357,,
-29.2858,320,,
-53.2782,380,,
-1.10252,474,,
-81.02792,387,,
-25.21052,544,,
-35.04332,584,,
99.28928,604,,
-8.75976,413,,
22.11968,487,,
19.4724,540,,
86.3074,496,,
6.05964,523,,
191.4552,941,,
27.33668,542,,
313.56,1000,,
61.23388,499,,
84.0292,541,,
20.27488,627,,
32.5848,480,,
344.01,1000,,
14.6038,521,,
304.61,1000,,
87.2338,836,,
307.89,1000,,
53.44284,513,,
11.751,450,,
56.44764,518,,
85.57488,627,,
130.30788,602,,
-15.64452,374,,
25.135,386,,
48.34464,518,,
-24.19212,399,,
61.24464,663,,
121.8386,785,,
-55.72812,324,,
22.703,525,,
67.79748,519,,
-22.4604,385,,
19.1016,566,,
58.1068,425,,
39.75144,463,,
129.3874,666,,
179.65244,958,,
66.84964,628,,
265.783,1000,,
27.48908,389,,
57.35428,454,,
99.88588,602,,
38.1518,471,,
133.4708,671,,
67.21448,557,,
44.0588,480,,
