episode_reward,episode_length,episode_kills,episode_accuracy,ammo_collected
155.04724,745,,,
-4.57628,273,,,
400.415,1000,,,
97.18783,674,,,
208.24514,996,,,
111.43726,700,,,
539.465,1000,,,
158.8015,773,,,
251.97121,782,,,
148.83396,753,,,
166.58098,757,,,
336.515,1000,,,
199.44082,948,,,
337.495,1000,,,
142.17338,868,,,
365.285,1000,,,
191.74921,966,,,
362.085,1000,,,
362.185,1000,,,
361.605,1000,,,
342.165,1000,,,
156.95662,740,,,
342.715,1000,,,
185.54701,862,,,
348.26884,1000,,,
310.187,1000,,,
333.545,1000,,,
158.51249,822,,,
377.865,1000,,,
344.855,1000,,,
201.2155,861,,,
340.365,1000,,,
214.80945,907,,,
148.37924,632,,,
436.645,1000,,,
130.35233,747,,,
216.85618,989,,,
141.39499,762,,,
366.175,1000,,,
121.33349,926,,,
354.005,1000,,,
152.4286,856,,,
228.14332,953,,,
392.885,1000,,,
194.6264,912,,,
346.745,1000,,,
316.26484,1000,,,
166.7511,805,,,
227.93523,919,,,
345.665,1000,,,
178.85054,749,,,
183.26576,849,,,
395.445,1000,,,
143.53888,769,,,
86.38536,697,,,
143.47684,825,,,
214.65818,972,,,
207.24168,753,,,
127.61227,714,,,
183.35661,899,,,
316.975,1000,,,
171.29584,881,,,
318.125,1000,,,
151.87597,766,,,
183.16448,881,,,
105.6,801,,,
161.85145,678,,,
132.16778,644,,,
82.96776,593,,,
442.555,1000,,,
306.8394,1000,,,
312.855,1000,,,
120.23165,771,,,
322.4366,1000,,,
125.83724,608,,,
406.405,1000,,,
359.755,1000,,,
458.785,1000,,,
375.815,1000,,,
392.795,1000,,,
402.11908,1000,,,
460.165,1000,,,
240.66576,985,,,
240.29037,958,,,
209.10331,978,,,
335.32284,1000,,,
447.605,1000,,,
450.505,1000,,,
364.335,1000,,,
409.305,1000,,,
447.695,1000,,,
482.095,1000,,,
507.895,1000,,,
363.655,1000,,,
390.345,1000,,,
492.735,1000,,,
374.0868,1000,,,
213.95926,725,,,
399.28908,1000,,,
380.735,1000,,,
482.195,1000,,,
446.045,1000,,,
58.18388,520,,,
476.365,1000,,,
158.64264,681,,,
361.72393,939,,,
213.78214,645,,,
399.625,1000,,,
450.84148,1000,,,
500.532,1000,,,
395.41908,1000,,,
514.085,1000,,,
164.2955,668,,,
273.46605,755,,,
453.66008,1000,,,
401.265,1000,,,
369.465,1000,,,
438.905,1000,,,
196.99124,905,,,
506.455,1000,,,
158.91043,602,,,
108.20052,441,,,
596.895,1000,,,
59.22337,411,,,
397.68456,1000,,,
405.505,1000,,,
226.04875,930,,,
358.58584,1000,,,
425.095,1000,,,
50.55488,497,,,
448.715,1000,,,
464.55284,1000,,,
201.236,849,,,
122.38576,672,,,
483.565,1000,,,
506.405,1000,,,
624.655,1000,,,
176.93832,649,,,
-33.82706,220,,,
379.97844,1000,,,
384.1065,964,,,
546.365,1000,,,
426.835,1000,,,
589.155,1000,,,
619.54308,1000,,,
441.44708,1000,,,
347.5476,921,,,
584.595,1000,,,
190.67704,560,,,
486.245,1000,,,
219.16333,843,,,
447.745,1000,,,
535.495,1000,,,
96.84065,550,,,
603.915,1000,,,
312.63491,778,,,
357.72908,1000,,,
413.995,1000,,,
197.16119,834,,,
386.885,1000,,,
449.285,1000,,,
491.585,1000,,,
162.35223,554,,,
177.23172,560,,,
520.635,1000,,,
299.3629,820,,,
439.705,1000,,,
451.915,1000,,,
283.23387,970,,,
124.29974,716,,,
214.43432,937,,,
276.63276,777,,,
391.775,1000,,,
347.4823,956,,,
121.17055,639,,,
574.145,1000,,,
422.62308,1000,,,
526.0022,1000,,,
286.92006,757,,,
230.34921,843,,,
269.63916,889,,,
375.29066,909,,,
313.515,1000,,,
254.24745,987,,,
43.44874,373,,,
68.1137,476,,,
154.28392,705,,,
506.155,1000,,,
142.06247,850,,,
91.84497,422,,,
644.135,1000,,,
362.8934,985,,,
566.245,1000,,,
475.46084,1000,,,
69.15684,584,,,
328.87116,937,,,
568.14876,1000,,,
72.38353,518,,,
615.105,1000,,,
558.9542,1000,,,
462.945,1000,,,
197.45798,636,,,
463.0636,1000,,,
527.635,1000,,,
523.795,1000,,,
472.3526,1000,,,
462.095,1000,,,
177.80118,597,,,
334.643,825,,,
474.795,1000,,,
516.075,1000,,,
483.97516,1000,,,
268.29779,791,,,
135.71202,468,,,
309.87889,939,,,
125.6156,561,,,
102.30508,505,,,
117.1401,564,,,
13.28092,296,,,
160.7434,681,,,
225.03174,732,,,
199.7705,621,,,
277.02807,786,,,
176.44738,596,,,
482.285,1000,,,
495.505,1000,,,
215.55884,657,,,
150.50428,433,,,
209.91448,673,,,
