episode_reward,episode_length,episode_kills,episode_accuracy,ammo_collected,health_remaining
458.827966,919,,,,
609.574,1000,,,,
602.862032,1000,,,,
683.032333,1000,,,,
585.873065,1000,,,,
371.790496,872,,,,
493.384674,974,,,,
666.248035,1000,,,,
668.190667,1000,,,,
579.120667,1000,,,,
576.353065,1000,,,,
647.120571,1000,,,,
637.791268,1000,,,,
329.119534,666,,,,
600.592598,1000,,,,
642.733326,1000,,,,
564.834533,1000,,,,
627.234,1000,,,,
571.372832,1000,,,,
695.722364,1000,,,,
